Ì0Ç$!( }_wÎ	ABSORB KIT DISPOSAL BAGS	 $0.98 
Ì0Ç$!(%$_)Î	BLU SPIL MGC BROOM HANDLE	 $1.19 
Ì0Ç$!(%$y+Î	ABOSRBENT KIT BROOM HEAD	 $2.24 
Ì0ÇgQZ S/TÎ	FLOOR SPILL START UP KIT	 $18.58 
Ì0ÇgQZE<$9Î	SPL MGC SINGLE USE BAG	 $24.24 
Ì0ÇgQZjc<~Î	POCKET SPILL PAD 4.5X6.75	 $41.67 
Ì0Ç$!( (IEÎ	BLK LARGE HAND BASKET	 $45.84 
Ì0Ç$!(%*z]Î	SMALL HANDBASKETS BLACK	 $41.04 
Ì0Ç$!( -^BÎ	LRG HAND BASKET STAND	 $15.96 
Ì0Ç$!(%*[3Î	SMALL HANDBASKET STAND	 $15.19 
Ì2Ç&i^5x"RÎ	SCOTY DRAIN BRUSH W/HNDLE	 $20.64 
Ì5Ç&i^5KLjÎ	SWIVEL DK BRSH W/BL BRSTL	 $5.09 
Ì5Ç&i^5S#(Î	DECK BRUSH	 $8.91 
Ì6Ç&i^5waDÎ	DELI SLICER BRSH 20IN RED	 $3.25 
Ì0Ç(\ *2 OÎ	TRRA BST CART WIPES	 $36.00 
Ì1Ç 9NzN!mÎ	ECO AIR FRESHENER DISPENS	 $3.00 
Ì1Ç 9Nz_|ÈÎ	ECOLAB HAND SANITIZER 4X1	 $100.64 
Ì1Ç'|Q>6?}Î	SANISAVE	 $95.54 
Ì1Ç'|Q>>J?Î	ECO AIR FRESHENER	 $47.92 
Ì3Ç'|QA(_aÎ	ECLB GRAFFITI REMOVER	 $21.82 
Ì0Ç$!& '+yÎ	ECLB FOAM HAND SOAP DSPNS	 $0.01 
Ì0Ç$!& BÄ?Î	ECLB ANTIGEL HND CARE DSP	 $0.01 
Ì1Ç 9N|Åm8Î	ECLB GREASESTRIP PLUS	 $21.88 
Ì1Ç'|Q>!9!Î	ECLB HWK FRYER CLNR/DGRSR	 $23.57 
Ì1Ç'|Q>!NbÎ	ECLB SIZZLE GRILL CLEANER	 $24.12 
Ì1Ç'|Q>!QzÎ	ECLB DIShWASHER DELIMER	 $33.50 
Ì1Ç'|Q>!lÈÎ	ECLB SUPER PAN SOAK LIQ	 $35.16 
Ì1Ç'|Q>&P.Î	ECLB ACTIGEL HND SANITIZR	 $20.19 
Ì1Ç'|Q>)'0Î	ECLB SANITIZER	 $21.29 
Ì1Ç'|Q>,$-Î	ECLB FOAMING LOTION SOAP	 $15.45 
Ì1Ç'|Q>09#Î	ECLB BLOCK WHITENER	 $25.74 
Ì1Ç'|Q>0<;Î	ECLB OVEN CLEANER	 $39.18 
Ì1Ç'|Q>0inÎ	ECLB DISINFECTANT CLEANSR	 $9.28 
Ì1Ç'|Q>1b=Î	SUPRA WAREWASH DTRGNT	 $31.70 
Ì1Ç'|Q>3C!Î	LMENTARY DRAINFLOOR CLNR	 $38.19 
Ì1Ç'|Q>7/kÎ	ECLB STNLS STL CLNR/PLSH	 $16.50 
Ì1Ç'|Q>7]?Î	ONE SWITCH FOAMING NOZZLE	 $11.75 
Ì1Ç'|Q>7^GÎ	1 SWTCH GUN SPRYR QCK CON	 $6.48 
Ì1Ç'|Q>8#yÎ	ECLB OVEN CLEANER TABLET	 $47.94 
Ì1Ç'|Q>9s/Î	FOOD GRADE MINERAL OIL	 $16.78 
Ì1Ç'|Q>:?2Î	ECLB DELIMER 577	 $14.43 
Ì1Ç'|Q>;"ÊÎ	ECLB WATER ONLY SPRAY BTL	 $0.01 
Ì1Ç'|Q><EpÎ	SANISAVE SPRY BTL	 $0.01 
Ì1Ç'|Q>;%7Î	ECLB GLASS CLNR SPRY BTL	 $0.01 
Ì1Ç'|Q><DhÎ	ECLB DELIMER SPRAY BOTTLE	 $0.01 
Ì1Ç'|Q><z|Î	MARKETGUARD 121 2.5 GAL	 $32.13 
Ì1Ç'|Q>==7Î	ECLB MP DISINFECTANT CLNR	 $62.50 
Ì1Ç'|Q>=O`Î	ECLB GLASS  SURFACE CLNR	 $64.40 
Ì1Ç'|Q>>ZXÎ	MG 121 SPRAY BOTTLE	 $0.01 
Ì1Ç'|Q>C}^Î	ECLB CHLRNTD CLNR SPRY BT	 $0.01 
Ì1Ç'|Q>D+?Î	MP DISINF CLNR SPRY BTTL	 $0.01 
Ì1Ç'|Q>DKqÎ	ECLB HAWK SPRAY BOTTLE	 $0.01 
Ì1Ç'|Q>EJpÎ	MARKETGUARD 75 2X2GL FRS	 $53.36 
Ì1Ç(nj "AcÎ	QT-40 SANITIZER STRIPS	 $4.65 
Ì1Ç(QVfklÄÎ	LTG 16OZ HND SNTZ PMP 70%	 $0.01 
Ì0Ç(2h\6dqÎ	PRODUCE MAXX	 $70.00 
Ì0Ç$!( #ORÎ	DISHWASHER TEMP TEST STRP	 $11.21 
Ì1Ç mnHwS(Î	DSHWASHR TEMP TEST STRIPS	 $11.21 
Ì0Ç'Ow>#vÈÎ	SUPEREMOVABL PEEL E-Z MON	 $2.10 
Ì0Ç'Ow>#x-Î	SUPEREMVBLE PEEL TUESDAY	 $2.10 
Ì0Ç'Ow>#z=Î	SUPEREMVBLE PEEL WEDNESDY	 $2.10 
Ì0Ç'Ow>#|MÎ	SUPEREMVBLE PEEL THURSDAY	 $2.10 
Ì0Ç'Ow>#~]Î	SUPEREMOVABL PEEL E-Z FRI	 $2.10 
Ì0Ç'Ow>#ÄmÎ	SUPEREMOVABL PEEL E-Z SAT	 $2.10 
Ì0Ç'Ow>#Æ}Î	SUPEREMVBLE PEEL SUNDAY	 $2.10 
Ì0Ç$!& %d0Î	CASTER LIFT SAFETY ROPES	 $28.50 
Ì0Ç q-h- ÅÎ	NAPKIN	 $27.60 
Ì0Ç$!(#Ba1Î	PAPER TWL ROLL 1-PLY BRWN	 $38.15 
Ì0Ç$!(#BcAÎ	TOILET TISSUE 2 PLY 1000	 $24.95 
Ì0Ç$!(#BdIÎ	BROWN KITCHEN TOWEL	 $16.19 
Ì0Ç$!(#BeQÎ	WINDSHIELD TOWEL	 $25.49 
Ì0Ç(a&R I8Î	HAND PULL AUTOCUT DISP	 $49.80 
Ì0Ç(a&R J@Î	JUMBO ROLL TISSUE DISP	 $8.45 
Ì0Ç(a&R KHÎ	ALL PURPOSE WIPER	 $35.80 
Ì0Ç$!& 'BcÎ	CERT ALARM THERMOMETER	 $26.25 
Ì0Ç$!("M,lÎ	EAS YELLOW SECURITY LABEL	 $30.00 
Ì0Ç$!("M-tÎ	RED MCROWAVABLE EAS LABEL	 $40.00 
Ì1Ç ++',G@Î	SMALL CLEAR SHELF EXTENDR	 $15.84 
Ì0Ç$!& ! ^Î	ABSORBENT PADS GRAY UNIV	 $47.22 
Ì0Ç$!( 'EÉÎ	FM 186-2	 $76.13 
Ì0Ç(z%>!EmÎ	STORECARE P2 1 GAL  PUMP	 $52.50 
Ì0Ç$!( 'D}Î	EXIMO CONCRETE CLEANER	 $168.95 
Ì1Ç(RPf#$4Î	FRIGO WINTER ADDITIVE	 $97.36 
Ì1Ç(RPf#%<Î	ORUS GLASS CLEANER/SQUEEG	 $91.24 
Ì1Ç(RPf#7eÎ	OTIS SRFC CLNR DGRSR	 $41.40 
Ì1Ç(RPf#V(Î	CAF FRIGO PUMP KIT	 $33.86 
Ì1Ç(RPf#\XÎ	OTIS WIPES CLEAN MLTPRPS	 $18.43 
Ì2Ç(RPf#16Î	OTIS SRFC CLNR STRTR KIT	 $47.99 
Ì0Ç$!(%$ÅkÎ	OIL DRY	 $7.75 
Ì0Ç$!( /TgÎ	DISP FILM CUTTER YELLOW	 $0.85 
Ì0Ç$!( ~#:Î	PHC LEFT HAND BOX CUTTER	 $2.88 
Ì0Ç$!(%Xe)Î	PHC BOX CUTTER BLADES	 $7.15 
Ì0Ç$!() a5Î	QUICK RELEASE HOLSTER	 $1.35 
Ì2Ç iL*$I,Î	S5L BOX CTR RED/LEFT HAND	 $3.39 
Ì2Ç iL*%`ÈÎ	DISP FD SAFETY CUTTER WHT	 $0.85 
Ì1Ç(*'& Q6Î	XS HXARMOR HELIX CUT GLV	 $7.95 
Ì1Ç(*'& R>Î	SM HXARMOR HELIX CUT GLV	 $7.95 
Ì1Ç(*'& SFÎ	MED HXARMOR HELIX CUT GLV	 $7.95 
Ì1Ç(*'& TNÎ	LG HXARMOR HELIX CUT GLV	 $7.95 
Ì1Ç(*'& UVÎ	XL HXARMOR HELIX CUT GLV	 $7.95 
Ì1Ç(*'& V^Î	XXL HXARMOR HELIX CUT GLV	 $7.95 
Ì1Ç(nj #KSÎ	BLACK VINYL APRON 42IN	 $7.75 
Ì1Ç(nj #P{Î	YELLOW PAPER APRON	 $34.74 
Ì0Ç$!( qhkÎ	24IN HIGH HEAT HAIRNET	 $6.18 
Ì0Ç'Z8g,,]Î	POLYPROPYLENE BEARD COVER	 $3.32 
Ì0Ç$!& &ZNÎ	S3HB104ND - HBF KEEPER	 $3.69 
Ì0Ç$!& &[VÎ	S3HB102ND - HBF KEEPER	 $3.76 
Ì0Ç$!& &\^Î	S3HB105ND -HBF KEEPER	 $3.96 
Ì0Ç$!& &]fÎ	S3HB101ND - HBF KEEPER	 $3.49 
Ì0Ç$!& &^nÎ	S3HB106ND - HBF KEEPER	 $4.25 
Ì0Ç$!& &_vÎ	S3HB107ND - HBF KEEPER	 $5.10 
Ì0Ç$!( qR"Î	SMILE AND BE HELPFUL         +	 $1.80 
Ì0Ç$!( qS*Î	KEEP YOUR LUNCHROOM          +	 $1.80 
Ì0Ç$!( qWJÎ	EMPLOYEES ONLY               +	 $1.80 
Ì0Ç$!( q_#Î	WASH YOUR HANDS	 $1.80 
Ì0Ç$!( ÃvoÎ	SEAFOOD GUM TAPE             +	 $2.95 
Ì0Ç$!( Æ{EÎ	FLORAL TAPE CLEAR	 $1.70 
Ì0Ç$!(%%5|Î	PACKING TAPE 2IN	 $1.39 
Ì0Ç$!(%V%ÉÎ	CAUTION BARRICADE TAPE	 $2.90 
Ì0Ç$#(^i'uÎ	ORGANIC TAPE	 $2.40 
Ì1Ç&OÄz 5aÎ	ST426C GREEN FLORAL TAPE	 $1.89 
Ì1Ç&OÄz 6iÎ	ST264A GREEN WTRPRF TAPE	 $3.20 
Ì0Ç$!( /S_Î	STARBUCK COFFEE CUP HOLDR	 $7.00 
Ì0Ç$!( nRtÎ	PRTD BASCART BELT BL/WHT	 $61.25 
Ì1Ç(*!!BLYÎ	MAKE IT RIGHT LABEL	 $5.95 
Ì1Ç(*!!Ap=Î	TOPBANANA BIGCHEESE	 $2.53 
Ì1Ç(*!!>$2Î	PAID THANK YOU LABEL	 $2.18 
Ì1Ç(R,p&Ç_Î	BTTM/BASCART PAID LBL	 $3.49 
Ì1Ç(*!!@9ÅÎ	IDT LABEL	 $2.31 
Ì1Ç'}ÆR>/qÎ	TRANSFORMER 25 FLOOR FINI	 $73.91 
Ì0Ç$!( r"EÎ	OFF BASE BUILDUP REMOVER	 $27.10 
Ì0Ç$!()r"{Î	KROGER BRUTE SC	 $107.33 
Ì0Ç'}ÆR1Ä3Î	CLEANSHINE SCRUBBER PACK	 $63.40 
Ì0Ç'}ÆR6BiÎ	RED DIAMOND CONCRETE CLNR	 $85.36 
Ì0Ç'}ÆR9`9Î	DIAMOND SOLITAIRE RTU	 $30.07 
Ì1Ç'}ÆR;k9Î	TWISTER 3000 GRT PAD 27IN	 $62.79 
Ì1Ç'}ÆR=>{Î	KRO SUDSDOWN SC SCRUBR PK	 $48.57 
Ì1Ç'}ÆV2`!Î	14IN CZ PAD MASTER PACK	 $13.36 
Ì1Ç'}ÆV2a)Î	16IN CZ PAD MASTER PACK	 $17.26 
Ì1Ç'}ÆV2b1Î	17IN CZ PAD MASTER PACK	 $18.22 
Ì1Ç'}ÆV2c9Î	20 CZ PAD MASTER PACK	 $36.26 
Ì0Ç$!( zvLÎ	20IN RED SCRUB POLISH PAD	 $11.16 
Ì0Ç$!( zx\Î	20 INCH STRIPPING PAD	 $11.17 
Ì0Ç (ER  +Î	13 INCH STRIPPING PAD	 $5.87 
Ì0Ç (Fp  }Î	13IN RED SCRUB POLISH PAD	 $5.86 
Ì0Ç (H\  vÎ	13IN HVY DUTY SCRUB PAD	 $5.87 
Ì0Ç$!( /u:Î	27IN WHITE POLISH PAD	 $10.67 
Ì0Ç$!( kapÎ	21IN COMBO PAD	 $13.26 
Ì0Ç$!( mxhÎ	16IN HVY DUTY SCRUB PAD	 $7.98 
Ì0Ç$!( Æ3oÎ	17IN RED SCRUB POLISH PAD	 $8.54 
Ì0Ç$!(%%hxÎ	20I WHITE HS PAD	 $11.16 
Ì0Ç$!(%T=iÎ	27IN COMBO PAD	 $10.45 
Ì0Ç$!()er6Î	24IN COMBO PAD	 $19.03 
Ì0Ç$!()ezvÎ	17 IN HEAVY SCRUB PAD	 $8.60 
Ì0Ç$!()eÃ7Î	17 INCH STRIPPING PAD	 $10.04 
Ì0Ç$!()gwlÎ	14IN RED SCRUB POLISH PAD	 $6.67 
Ì0Ç$!( zuDÎ	16IN RED SCRUB POLISH PAD	 $7.98 
Ì0Ç$!( !BCÎ	24 WHITE SUPER POLISH PAD	 $18.60 
Ì0Ç$!( zwTÎ	16INCH STRIPPING PAD	 $7.98 
Ì0Ç$!( |aÄÎ	GEN.PURP.SCRUB BRUSH         +	 $1.84 
Ì0Ç$!( |c)Î	HANDLE SCRUB BRUSH           +	 $3.44 
Ì0Ç$!( |e9Î	LONG HANDLE BRUSH            +	 $4.24 
Ì0Ç$!(%&?lÎ	HI-HEAT LONG HANDLE BRUSH	 $4.08 
Ì1Ç f]>"QPÎ	2IN MTL FLR SCRPR ERGRIP	 $0.96 
Ì1Ç f]>&LDÎ	12IN WINDOW SQUEEGEE	 $2.44 
Ì1Ç f]>&O\Î	12IN WNDW SQUEEGEE RF BLD	 $1.10 
Ì1Ç h^f`*+Î	LARGE ANGLE BROOM HEAD	 $4.25 
Ì1Ç h^hfr7Î	24IN MEDIUM FLOOR SWEEP	 $5.15 
Ì1Ç h^o^(CÎ	MAXIPLUS LOBBY DUST PAN	 $47.10 
Ì1Ç h^o`gFÎ	MICROFIBER FEATHER DUSTER	 $2.30 
Ì1Ç h^og[~Î	54IN METAL HANDLE W/THRDS	 $2.83 
Ì4Ç h^f N\Î	LARGE ANGLE BROOM	 $4.25 
Ì0Ç$!( !)IÎ	THERMAL PAPER 273FT	 $0.01 
Ì0Ç$!(%'zHÎ	BAG RACK ADAPT 2 IN	 $5.79 
Ì0Ç$!(%'y@Î	BAG RACK 1/7 BARREL	 $41.54 
Ì0Ç"2s!DÅ~Î	NILODEW	 $23.30 
Ì0Ç 4"f]k!Î	PLASTIC DUST PAN	 $1.85 
Ì0Ç$!( qJIÎ	WEDGE CLIP  SMW              +	 $15.75 
Ì0Ç$!( yDQÎ	PRICE CHANNEL SIGNHOLDER	 $1.75 
Ì0Ç$!(%$l*Î	P-TOUCH TAPE BLACK ON WHITE	 $10.15 
Ì0Ç$!(%Xr*Î	6IN HEATSEAL TEFLON COVER	 $7.48 
Ì0Ç$!()sf8Î	UNDER WINDOW WASH PILLS	 $4.42 
Ì1Ç(nj #U<Î	20 IN AUTO SQUEEGEE	 $3.20 
Ì0Ç$!( {AGÎ	22INFLOOR SQUEEGE	 $6.45 
Ì0Ç mnHÆHÇÎ	DIGITAL THERMOMETER	 $10.17 
Ì0Ç$!& $iQÎ	TAG HOLDER SPRING CLIP 3	 $9.62 
Ì0Ç$!& $kaÎ	TAG HOLDER FOR HOT PANS	 $5.04 
Ì0Ç$!& $s:Î	TAG SLVE 3X2 1 FOLD STYLE	 $2.01 
Ì0Ç$!(%Zp(Î	METAL CLIPSTRIP HANGER	 $3.75 
Ì0Ç$!( sVPÎ	PLAS SIGN HOLDR 7X11IN	 $8.85 
Ì0Ç$!( qIAÎ	BASKET CUP  WRC              +	 $14.25 
Ì0Ç$!& 'Æ`Î	25FT HOSE	 $32.80 
Ì0Ç$!& 'ÇhÎ	50FT HOSE	 $48.06 
Ì0Ç$!& ( (Î	MOP AND BROOM BRACKET	 $3.85 
Ì0Ç$!& (&XÎ	CHLORINE TEST STRIPS	 $4.10 
Ì0Ç$!& (-)Î	24OZ FLR FNSH MOP W/ADAPT	 $3.20 
Ì0Ç$!& 02"Î	WINE CARRIER RACK	 $56.98 
Ì0Ç$!& BSsÎ	TOILET BOWL BRUSH	 $1.79 
Ì4Ç';C.Kf:Î	1/2 FOLD TOILET SEAT COVR	 $2.03 
Ì0Ç$!( ÅglÎ	URINAL BLOCK & SCREEN	 $1.72 
Ì0Ç$!( "]TÎ	LZR INFRARED THERMOMETER	 $32.22 
Ì0Ç$!( kToÎ	27 QUART WASTEBASKET         +	 $31.31 
Ì0Ç$!( m2;Î	MARSHL TRASH CAN 21GAL	 $113.37 
Ì0Ç$!( m4KÎ	BRUTE LID	 $8.27 
Ì0Ç$!( m6[Î	BRUTE/HUSKEE DOLLY           +	 $55.31 
Ì0Ç$!( m7cÎ	SMOKING URN	 $82.15 
Ì0Ç$!( {26Î	SANITARY WAX BAGS	 $22.24 
Ì0Ç$!( |15Î	TRIGGER SPRAYERS             +	 $0.45 
Ì0Ç$!( },{Î	CASE THERMOMETER             +	 $1.95 
Ì0Ç$!( ÇcZÎ	CHANGING STATION LINERS	 $1.90 
Ì0Ç$!(%%*$Î	KNEEPADS - MENS	 $13.45 
Ì0Ç$!(%Y[GÎ	8 SUPER ABSORBENT SOCK	 $13.32 
Ì0Ç$!(%[*iÎ	REPLACMNT BLADE 4IN FLSCR	 $3.57 
Ì0Ç(dl1aEÄÎ	35 QUART MOP BUCKET	 $49.25 
Ì0Ç(dl1|??Î	35 QUART MOP BUCKET WRNGR	 $54.10 
Ì0Ç(ÃU4" {Î	FILTER BRITE OIL FLT PWDR	 $46.50 
Ì1Ç 4"fI/ Î	8IN SCRAPER	 $6.85 
Ì1Ç(nj #^ÈÎ	STRAP PAC KIT	 $55.40 
Ì1Ç(nj #eUÎ	WINE IS FRUIT 4PK WINE C	 $33.50 
Ì0Ç$!( zf3Î	2 1/4 INCH ADD MACH TAPE	 $23.28 
Ì5Ç P!/Åg#Î	SCOTCH BRITE CLEANSNG PAD	 $17.00 
Ì0Ç'^}R6 `Î	INTE-FIT HYBRD GLOVES SM	 $14.85 
Ì0Ç'^}R6!hÎ	INTE-FIT HYBRD GLOVES MD	 $14.85 
Ì0Ç'^}R6"pÎ	INTE-FIT HYBRD GLOVES LG	 $14.85 
Ì0Ç'^}R6#xÎ	INTE-FIT HYBRD GLOVES XL	 $14.85 
Ì1Ç'^}R *~Î	DISP POLY GLOVES SMALL	 $3.83 
Ì1Ç'^}R9~.Î	DISP POLY GLOVES XSMALL	 $3.83 
Ì1Ç'^}R ,'Î	DISP POLY GLOVES XLG	 $3.83 
Ì1Ç'^}R -/Î	DISP POLY GLOVES LG	 $3.83 
Ì1Ç'^}RZG+Î	YLLW VINYL GLOVES PWRD SM	 $4.50 
Ì1Ç'^}RZH3Î	YLLW VINYL GLOVES PWRD MD	 $4.50 
Ì1Ç'^}RZI;Î	YLLW VINYL GLOVES PWRD LG	 $4.50 
Ì1Ç'^}RZJCÎ	YLLW VNYL GLOVES PDR XL	 $4.50 
Ì1Ç H*pWB2Î	XL POLY GLOVES	 $0.40 
Ì1Ç H*pWpmÎ	LG POLY GLOVES	 $0.40 
Ì1Ç H*p]i_Î	MD POLY GLOVES	 $0.40 
Ì0Ç'^}[!(CÎ	36X60 12 MICRON NAT LINER	 $19.25 
Ì0Ç'^}[Ã}BÎ	24X24 NATURAL CAN LINER	 $12.88 
Ì0Ç'^}[ÃÃRÎ	24X33 CAN LINER HDPE 6M	 $17.62 
Ì0Ç&&>*)MbÎ	9X12 LEAKER BAG	 $112.00 
Ì0Ç&&>*)NjÎ	13X18 LEAKER BAG	 $116.00 
Ì0Ç&&>*)OrÎ	18X24 LEAKER BAG	 $105.00 
Ì0Ç$!(%WpzÎ	POCKET THERMOMETER           +	 $2.95 
Ì0Ç'^}R*]XÎ	52X80 BUN RCK COVER LLDPE	 $17.60 
Ì0Ç'^}R\~TÎ	46X50 CAN LINER HDPE 14M	 $11.58 
Ì0Ç'^}R\ÄdÎ	50X42X88 CAN LINER LLDPE	 $92.86 
Ì0Ç'^}R_#bÎ	40X46 BLUE CANLINER 12MIC	 $25.00 
Ì0Ç'^}[ B>Î	38X60 14 MIRCON NAT LINER	 $22.61 
Ì0Ç$!( %_yÎ	PLASTIC HANDHELD TOTE YEL	 $27.50 
Ì0Ç$!(#M#*Î	SANI GEL INST HAND SNTZR	 $128.00 
Ì0Ç$!(%&W^Î	BALE TIE (CIRCLE PACK)	 $25.88 
Ì0Ç'^}R!y+Î	PALLET STRETCH FILM	 $26.35 
Ì0Ç$!(#CG6Î	8OZ SLATE HAND SANITIZER	 $0.01 
Ì0Ç'/{!H5hÎ	KRO PICKUP T-SHIRT BAG	 $44.47 
Ì0Çg[*.N-{Î	PROWAVE KROGER PICKUP 1.7	 $43.47 
Ì0Ç$!(%T9IÎ	TOMRA RECEIPT ROLLS	 $27.66 
Ì0Ç$!& 4H Î	ANTI FATIGUE MAT 22X53	 $24.78 
Ì0Ç$!& 4I(Î	ANTI FATIGUE MAT 2X3	 $9.08 
Ì0Ç$!& 4L@Î	ANTI FATIGUE MAT 2X8	 $48.94 
Ì0Ç 54)d\fÎ	CLEAR TAPE 2IN	 $2.09 
Ì0Ç$!( n}0Î	GREEN FLORAL TAPE 1/2INCH	 $0.91 
Ì0Ç$!( s!DÎ	DUCT TAPE BLACK 3IN	 $46.80 
Ì0Ç$!( s7&Î	CLEAR TAPE 1 IN	 $0.99 
Ì0Ç$!( uNÉÎ	3 IN BROWN CLOTH TAPE	 $46.80 
Ì0Ç$!( {FoÎ	1/2 CELLO TAPE/DISP.         +	 $7.20 
Ì0Ç$!( {L8Î	3/4  MASKING TAPE            +	 $0.90 
Ì0Ç$!( {M@Î	2  MASKING TAPE              +	 $2.35 
Ì0Ç$!(%'P-Î	UTENSIL STORAGE CONT	 $17.80 
Ì0Ç$!(%(ECÎ	FLY TRAP GLUE BOARD	 $49.90 
Ì0Ç1=|p!EpÎ	1/7BBL PICKUP SACK	 $42.72 
Ì1Ç o[It$MÎ	4LB BROWN PAPER BAG	 $9.14 
